interests_score,budget_score,travel_time_minutes,Days,AVG_Travel_Time,Travel_Score,location,redundency_score
100,47.33333333,69,3,23,77,Orlando,100
100,33.33333333,42,3,14,86,Washington D.C.,100
100,95,62,3,20.66666667,79.33333333,Boston,100
100,75,93,3,31,69,New Orleans,100
100,35,141,3,47,53,Seattle,80
100,40,49,3,16.33333333,83.66666667,Honolulu,95
100,58.33333333,58,3,19.33333333,80.66666667,San Diego,90
100,40,79,3,26.33333333,73.66666667,Nashville,90
100,56.66666667,133,3,44.33333333,55.66666667,Austin,100
100,56.66666667,97,3,32.33333333,67.66666667,Philadelphia,100
100,65,70,3,23.33333333,76.66666667,Atlanta,100
100,56.66666667,37,3,12.33333333,87.66666667,Portland,100
100,61.66666667,542,3,180.6666667,0,San Antonio,100
100,33.33333333,13,3,4.333333333,95.66666667,Denver,100
100,88.33333333,66,3,22,78,Dallas,80
100,56.66666667,90,3,30,70,Minneapolis,100
66.66666667,47.5,97,5,19.4,80.6,Salt Lake City,100
100,60,49,5,9.8,90.2,Cape Town,90
100,36.25,90,5,18,82,Sydney,100
100,31.25,77,5,15.4,84.6,Rio de Janeiro,90
100,35,208,5,41.6,58.4,Los Angeles,80
100,38.25,377,5,75.4,24.6,Florence,85
0,0,0,5,0,100,Seoul,0
100,32.5,56,5,11.2,88.8,Vienna,95
100,28,37,5,7.4,92.6,Toronto,100
100,80,55,5,11,89,Melbourne,90
100,53.75,100,5,20,80,Buenos Aires,75
100,40,549,5,109.8,0,Mexico City,85
100,30,29,5,5.8,94.2,Prague,90
100,58.75,134,5,26.8,73.2,Shanghai,85
100,0,204,5,40.8,59.2,Miami,70
100,40,57,5,11.4,88.6,Tokyo,75
100,64.8,191,5,38.2,61.8,Paris,100
100,37,98,7,14,86,New York City,90
100,30,308,7,44,56,London,90
100,87,252,7,36,64,Rome,100
100,32,83,7,11.85714286,88.14285714,Bangkok,90
0,0,0,7,0,100,Dubai,0
100,45,57,7,8.142857143,91.85714286,Singapore,100
100,41,93,7,13.28571429,86.71428571,Barcelona,75
100,29,158,7,22.57142857,77.42857143,Istanbul,100
100,35,138,7,19.71428571,80.28571429,Amsterdam,90
100,27,106,7,15.14285714,84.85714286,Berlin,100
100,21,1229,7,175.5714286,0,Madrid,90
0,0,0,7,0,100,Lisbon,0
100,19,260,7,37.14285714,62.85714286,Venice,100
100,8,97,7,13.85714286,86.14285714,San Francisco,100
0,0,0,7,0,100,Hong Kong,0
100,50,78,7,11.14285714,88.85714286,Chicago,100
100,47.5,249,7,35.57142857,64.42857143,Las Vegas,70
