interests_score,budget_score,travel_time_score,Days,AVG_Travel_Time,Travel_Score,location,redundency_score
66.66666667,47.33333333,229,3,76.33333333,47.33333333,Orlando,75
66.66666667,85,158,3,52.66666667,53.66666667,Washington D.C.,75
100,86.66666667,139,3,46.33333333,64.33333333,Boston,70
100,42.33333333,107,3,35.66666667,47,New Orleans,100
100,50,159,3,53,66.33333333,Seattle,75
33.33333333,95,101,3,33.66666667,80.66666667,Honolulu,75
100,66.66666667,58,3,19.33333333,57,San Diego,75
100,100,129,3,43,74.66666667,Nashville,75
100,25,76,3,25.33333333,71,Austin,100
100,80.66666667,87,3,29,59.33333333,Philadelphia,85
100,83.33333333,122,3,40.66666667,78.66666667,Atlanta,75
0,47.66666667,64,3,21.33333333,57,Portland,100
66.66666667,43.66666667,129,3,43,69.33333333,San Antonio,75
66.66666667,0,92,3,30.66666667,59.33333333,Denver,75
100,85.66666667,122,3,40.66666667,69.66666667,Dallas,75
0,83.33333333,91,3,30.33333333,66.4,Minneapolis,65
66.66666667,55,168,5,33.6,70.8,Salt Lake City,100
66.66666667,90,146,5,29.2,56.8,Cape Town,100
33.33333333,89,216,5,43.2,29.6,Sydney,75
100,92.5,352,5,70.4,100,Rio de Janeiro,70
0,0,0,5,0,68.6,Los Angeles,100
66.66666667,39.75,157,5,31.4,100,Florence,65
0,0,,5,0,72.2,Seoul,0
100,72.5,139,5,27.8,62,Vienna,100
66.66666667,0,190,5,38,77.6,Toronto,55
33.33333333,0,112,5,22.4,59.4,Melbourne,75
100,12,203,5,40.6,0,Buenos Aires,70
100,48.75,5052,5,1010.4,72,Mexico City,70
100,87.5,140,5,28,59.2,Prague,100
100,0,204,5,40.8,31.6,Shanghai,55
100,100,342,5,68.4,65.4,Hong Kong,100
100,0,173,5,34.6,68.2,Chicago,100
100,43.75,159,5,31.8,42.14285714,Las Vegas,70
66.66666667,86,405,7,57.85714286,45.85714286,Miami,100
100,35,379,7,54.14285714,48,Tokyo,100
0,72.2,364,7,52,70.57142857,Paris,100
100,86,206,7,29.42857143,41.14285714,New York City,85
66.66666667,59.2,412,7,58.85714286,68.42857143,London,0
100,54.8,221,7,31.57142857,52.42857143,Rome,100
100,61,333,7,47.57142857,3.428571429,Bangkok,65
66.66666667,51.8,676,7,96.57142857,88.71428571,Dubai,100
100,0,79,7,11.28571429,73,Singapore,85
100,0,189,7,27,15,Barcelona,100
33.33333333,49.4,595,7,85,42.85714286,Istanbul,65
100,99.8,400,7,57.14285714,43.42857143,Amsterdam,60
100,20,396,7,56.57142857,79.28571429,Berlin,55
66.66666667,41,145,7,20.71428571,61.42857143,Madrid,100
100,0,270,7,38.57142857,40.57142857,Lisbon,100
66.66666667,30,416,7,59.42857143,38,Venice,75
100,42.6,434,7,62,100,San Francisco,40
